,RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer,Date,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,Crime Count,Offense_cat,cluster
0,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Mental Health/Welfare,2
1,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Weapon Offenses,2
2,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Assault & Violent Crime,3
3,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Property Damage,2
4,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
5,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Assault & Violent Crime,3
6,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Narcotics/Drug Offenses,2
7,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
8,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
9,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
10,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
11,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Motor Vehicle/Traffic,4
12,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Assault & Violent Crime,3
13,1,Assist Citizen - Mental/TDO/ECO,202500023705,2100.0,"MICHIE DR, 35B",CPD,2025-07-08 21:23:03+00:00,17,"Crowley, Raeann",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Property Damage,2
14,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Mental Health/Welfare,2
15,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Weapon Offenses,2
16,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Assault & Violent Crime,3
17,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Property Damage,2
18,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
19,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Assault & Violent Crime,3
20,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Narcotics/Drug Offenses,2
21,2,Shots Fired/Illegal Hunting,202500023699,600.0,10 1/2 ST NW,CPD,2025-07-08 20:48:27+00:00,16,"Curry, Brian",2025-07-08,2025-07-08,26.7,22.8,33.3,0.8,,,7.2,,1016.3,,14.0,Theft & Larceny,1
